,id,kjkrfgld,bpowgknt,raksnhjf,vwpsxrgk,omtioxzz,yfmzwkru,tiwrsloh,weioazcf,poor
6505,39712,UhSVl,WXYiE,DtMvg,bUhyU,39.0,-3.0,-1.0,0.5,False
7407,44275,qzGkS,THHLT,DtMvg,qXvRS,21.0,-2.0,-7.0,-14.5,False
5121,52180,Lsuai,THHLT,rXCdD,sPNOc,12.0,-3.0,3.0,10.5,False
6901,58325,Lsuai,zPfZR,DtMvg,,12.0,-3.0,3.0,10.5,False
2952,51904,qzGkS,,DtMvg,ZCIYy,30.0,-1.0,-5.0,-9.5,False
1074,50613,qzGkS,THHLT,qTmDg,shPwO,30.0,-2.0,-9.0,-19.5,False
5387,41226,Lsuai,hMHca,DtMvg,RpXJc,48.0,-1.0,-1.0,0.5,False
7103,20988,GVYCk,zPfZR,qTmDg,SaVqO,21.0,-3.0,-3.0,-4.5,True
1198,99341,Lsuai,hMHca,qTmDg,SaVqO,12.0,-2.0,-5.0,-9.5,False
4452,19008,qzGkS,THHLT,DtMvg,sPNOc,21.0,-3.0,-1.0,0.5,False
2077,75961,AfgYR,THHLT,DtMvg,ZlqSm,12.0,-3.0,-3.0,-4.5,True
3854,49208,Lsuai,mDadf,DtMvg,DBUky,12.0,-4.0,,0.5,False
6644,73061,KfoTG,zPfZR,DtMvg,puHHm,21.0,-3.0,-5.0,-9.5,True
3352,69407,qzGkS,THHLT,qTmDg,shPwO,21.0,-2.0,-7.0,-14.5,False
5729,69425,Lsuai,THHLT,TKfyw,qXvRS,3.0,-3.0,-1.0,0.5,True
918,73646,Lsuai,hMHca,DtMvg,vVbnO,21.0,-1.0,3.0,10.5,False
4782,14651,tnDpM,mDadf,zeYAm,xzgJe,21.0,-1.0,-9.0,-19.5,False
896,26519,qzGkS,THHLT,qTmDg,VJaVA,12.0,-1.0,,-9.5,True
7218,8500,qzGkS,THHLT,qTmDg,ARuYG,30.0,-3.0,-3.0,-4.5,False
301,48838,GVYCk,WXYiE,TKfyw,hmAUm,30.0,-1.0,-9.0,-19.5,False
2664,66202,KfoTG,THHLT,DtMvg,XAmOF,39.0,-4.0,-11.0,-24.5,False
3225,68600,Lsuai,zPfZR,DtMvg,ARuYG,21.0,-3.0,-7.0,,False
5409,47539,ljBjd,zPfZR,TKfyw,hmAUm,12.0,-4.0,-5.0,-9.5,True
410,42261,qzGkS,mDadf,DtMvg,lwCkE,12.0,-4.0,-5.0,-9.5,True
3283,56133,ljBjd,THHLT,TKfyw,IJnCs,30.0,-3.0,-3.0,-4.5,False
7072,73479,KfoTG,mDadf,rXCdD,sPNOc,39.0,-2.0,-11.0,-24.5,False
6373,83156,KfoTG,zPfZR,TKfyw,,-6.0,-3.0,-9.0,-19.5,True
6218,13903,qzGkS,THHLT,rXCdD,sPNOc,12.0,-3.0,-1.0,0.5,False
1502,10049,KfoTG,THHLT,qTmDg,hmAUm,12.0,-3.0,-3.0,-4.5,True
515,69846,Lsuai,mDadf,DtMvg,QRKWz,12.0,-4.0,-11.0,-24.5,True
4003,25425,Lsuai,WXYiE,qTmDg,SaVqO,30.0,-3.0,-11.0,-24.5,False
1223,34410,qzGkS,THHLT,qTmDg,ZlqSm,48.0,-1.0,-13.0,-29.5,False
2622,6409,tnDpM,THHLT,qTmDg,VJaVA,12.0,,-1.0,0.5,False
426,39882,GVYCk,DnomH,DtMvg,ZlqSm,39.0,-3.0,-7.0,-14.5,True
6854,45223,Lsuai,zPfZR,zeYAm,xzgJe,12.0,-3.0,-9.0,-19.5,True
7370,9336,Lsuai,hMHca,DtMvg,RpXJc,12.0,-2.0,-1.0,,False
5930,30064,Lsuai,THHLT,zeYAm,xzgJe,21.0,-4.0,-3.0,-4.5,False
970,39586,qzGkS,mDadf,DtMvg,mIqzL,-6.0,-3.0,1.0,5.5,False
604,69666,qzGkS,THHLT,DtMvg,NdlDR,12.0,-3.0,-9.0,-19.5,True
225,27806,qzGkS,THHLT,DtMvg,ARuYG,12.0,-3.0,-5.0,-9.5,True
6673,32923,KfoTG,THHLT,rXCdD,QRKWz,12.0,-4.0,-5.0,-9.5,True
1285,7824,Lsuai,WXYiE,qTmDg,hmAUm,3.0,-3.0,3.0,10.5,False
1670,74686,Lsuai,mDadf,TKfyw,XHmQd,21.0,-2.0,-5.0,-9.5,True
19,17981,qzGkS,THHLT,qTmDg,bUhyU,21.0,-3.0,-7.0,-14.5,True
3091,73210,Lsuai,THHLT,zeYAm,xzgJe,3.0,-2.0,-9.0,-19.5,False
4177,37976,qzGkS,zPfZR,rXCdD,qNABl,30.0,-4.0,-1.0,0.5,False
4874,29302,qzGkS,THHLT,qTmDg,sPNOc,57.0,-2.0,-9.0,-19.5,False
1459,27780,tnDpM,THHLT,qTmDg,VJaVA,30.0,-3.0,-9.0,-19.5,False
1673,2702,KfoTG,THHLT,rXCdD,puHHm,21.0,-3.0,-15.0,-34.5,False
6535,92043,Lsuai,THHLT,DtMvg,yygvO,3.0,-3.0,-1.0,,False
5944,73176,qzGkS,,DtMvg,ARuYG,12.0,-3.0,-9.0,-19.5,True
590,85934,GVYCk,THHLT,zeYAm,BidgV,12.0,-2.0,-5.0,-9.5,False
3810,19500,qzGkS,THHLT,DtMvg,AjMVN,21.0,-4.0,-7.0,-14.5,False
6289,59492,Lsuai,mDadf,TKfyw,ZlqSm,21.0,-3.0,-5.0,-9.5,True
4505,17492,qzGkS,mDadf,rXCdD,IJnCs,30.0,-4.0,-1.0,0.5,False
944,27515,Lsuai,zPfZR,DtMvg,hmAUm,21.0,-4.0,-9.0,-19.5,True
5004,99594,Lsuai,,zeYAm,BidgV,39.0,-3.0,-3.0,-4.5,False
6819,4171,GVYCk,THHLT,,sPNOc,21.0,-4.0,-1.0,0.5,False
5750,78691,qzGkS,THHLT,zeYAm,ZlqSm,12.0,-3.0,-7.0,-14.5,True
5935,73394,Lsuai,zPfZR,DtMvg,lwCkE,12.0,-3.0,-3.0,-4.5,True
6136,80392,KfoTG,THHLT,rXCdD,QRKWz,21.0,-2.0,-3.0,-4.5,False
7465,22369,Lsuai,THHLT,zeYAm,NdlDR,30.0,-3.0,-1.0,0.5,False
1345,25870,ljBjd,THHLT,TKfyw,puHHm,12.0,-3.0,-1.0,0.5,False
3623,69074,KfoTG,THHLT,DtMvg,lwCkE,3.0,-2.0,-1.0,0.5,False
5655,71404,qzGkS,THHLT,qTmDg,ZlqSm,21.0,-2.0,-9.0,-19.5,False
6467,24207,qzGkS,zPfZR,DtMvg,sPNOc,30.0,-3.0,-11.0,-24.5,False
4900,89055,KfoTG,mDadf,rXCdD,QRKWz,12.0,-3.0,-5.0,-9.5,True
6562,39600,ljBjd,DnomH,DtMvg,XAmOF,39.0,-1.0,-19.0,-44.5,False
3389,69667,Lsuai,zPfZR,qTmDg,qXvRS,3.0,-3.0,1.0,5.5,False
711,45880,KfoTG,WXYiE,DtMvg,lwCkE,12.0,-3.0,1.0,,False
1770,63403,KfoTG,THHLT,TKfyw,IJnCs,21.0,-3.0,-3.0,-4.5,False
6898,68586,qzGkS,zPfZR,rXCdD,vVbnO,12.0,-4.0,3.0,10.5,False
5148,7938,KfoTG,THHLT,DtMvg,ARuYG,12.0,-4.0,-3.0,-4.5,True
7598,70964,qzGkS,THHLT,qTmDg,VJaVA,-6.0,-2.0,-1.0,0.5,True
2304,84902,qzGkS,zPfZR,rXCdD,IJnCs,12.0,-4.0,,5.5,False
1076,31261,Lsuai,zPfZR,rXCdD,IJnCs,30.0,-4.0,-9.0,-19.5,True
2076,57451,ljBjd,THHLT,zeYAm,SaVqO,12.0,-3.0,-1.0,0.5,True
198,76757,Lsuai,THHLT,DtMvg,hmAUm,12.0,-1.0,-3.0,-4.5,False
7330,37176,qzGkS,mDadf,DtMvg,shPwO,21.0,-4.0,1.0,5.5,False
4083,92719,qzGkS,THHLT,DtMvg,IDkCg,21.0,-3.0,-5.0,-9.5,True
4290,3423,KfoTG,zPfZR,rXCdD,IDkCg,12.0,-4.0,-1.0,0.5,False
7770,94122,Lsuai,THHLT,zeYAm,VJaVA,3.0,-3.0,-1.0,0.5,True
4470,9151,KfoTG,THHLT,TKfyw,ZlqSm,30.0,-3.0,-13.0,-29.5,True
5638,15000,Lsuai,THHLT,TKfyw,qXvRS,12.0,-2.0,-7.0,-14.5,False
3115,63305,qzGkS,mDadf,,lwCkE,-6.0,-4.0,-1.0,0.5,False
3273,91671,KfoTG,THHLT,DtMvg,tXtkv,21.0,-4.0,-5.0,-9.5,True
4062,31868,qzGkS,zPfZR,qTmDg,shPwO,21.0,-3.0,-7.0,-14.5,True
2143,63691,KfoTG,THHLT,TKfyw,puHHm,21.0,-4.0,-5.0,-9.5,True
2878,88149,Lsuai,THHLT,DtMvg,yygvO,21.0,-3.0,-5.0,-9.5,False
2520,64205,Lsuai,zPfZR,DtMvg,bUhyU,21.0,-2.0,-9.0,-19.5,True
2699,32294,tnDpM,THHLT,TKfyw,AjMVN,,-2.0,-13.0,-29.5,False
5379,4753,KfoTG,zPfZR,qTmDg,bUhyU,3.0,-2.0,-7.0,-14.5,False
8100,32038,Lsuai,mDadf,zeYAm,VJaVA,3.0,-3.0,1.0,5.5,False
4562,999,qzGkS,WXYiE,qTmDg,esAQH,12.0,-3.0,-3.0,-4.5,True
3064,86126,KfoTG,mDadf,DtMvg,XAmOF,21.0,,-1.0,0.5,False
5652,85905,KfoTG,mDadf,qTmDg,XAmOF,21.0,-3.0,3.0,10.5,False
5438,52729,KfoTG,zPfZR,DtMvg,DBUky,3.0,-3.0,-9.0,-19.5,True
5876,10537,KfoTG,THHLT,TKfyw,SaVqO,21.0,-4.0,3.0,10.5,False
6298,78791,ljBjd,THHLT,qTmDg,XHmQd,12.0,-4.0,-1.0,0.5,False
5459,31161,qzGkS,mDadf,DtMvg,sPNOc,12.0,-2.0,-5.0,-9.5,False
6836,65880,qzGkS,mDadf,zeYAm,qNABl,48.0,-3.0,-3.0,-4.5,False
4195,62468,qzGkS,THHLT,rXCdD,IJnCs,12.0,-3.0,-1.0,0.5,False
4254,4230,KfoTG,zPfZR,DtMvg,,21.0,-3.0,-11.0,-24.5,True
3214,80858,qzGkS,mDadf,DtMvg,shPwO,12.0,-2.0,-5.0,-9.5,False
4602,38895,GVYCk,mDadf,DtMvg,puHHm,12.0,-4.0,,5.5,False
4952,48039,AfgYR,mDadf,DtMvg,ZlqSm,3.0,-3.0,1.0,5.5,False
6751,19535,KfoTG,THHLT,TKfyw,VJaVA,21.0,-2.0,-7.0,-14.5,True
1968,33912,Lsuai,,DtMvg,VJaVA,,-4.0,-1.0,0.5,True
556,54275,qzGkS,mDadf,qTmDg,ARuYG,-6.0,-4.0,-9.0,-19.5,True
3418,28024,KfoTG,THHLT,qTmDg,tXtkv,30.0,-1.0,-7.0,-14.5,True
6331,2502,qzGkS,THHLT,qTmDg,VJaVA,21.0,-1.0,-7.0,-14.5,True
4330,5878,qzGkS,mDadf,qTmDg,bUhyU,12.0,-4.0,-7.0,-14.5,True
1430,17698,KfoTG,THHLT,DtMvg,XHmQd,12.0,,1.0,5.5,False
5621,21625,KfoTG,hMHca,qTmDg,RpXJc,39.0,-1.0,-3.0,-4.5,False
6284,61532,qzGkS,THHLT,DtMvg,qXvRS,21.0,-3.0,-1.0,0.5,False
6511,81973,,THHLT,TKfyw,IJnCs,30.0,-4.0,-7.0,-14.5,True
4460,65489,GVYCk,zPfZR,DtMvg,puHHm,21.0,-3.0,-7.0,-14.5,True
308,59324,qzGkS,mDadf,DtMvg,ZCIYy,21.0,-4.0,-5.0,-9.5,True
7121,63399,ljBjd,THHLT,DtMvg,XHmQd,3.0,-4.0,-7.0,-14.5,True
6526,70859,GVYCk,DnomH,DtMvg,XAmOF,12.0,-2.0,1.0,5.5,False
597,67620,qzGkS,zPfZR,,NdlDR,30.0,-3.0,-5.0,-9.5,False
247,69632,ljBjd,THHLT,DtMvg,XAmOF,30.0,-2.0,-5.0,-9.5,False
3306,66714,GVYCk,THHLT,rXCdD,sPNOc,21.0,-3.0,-5.0,-9.5,True
1364,90293,KfoTG,THHLT,qTmDg,mIqzL,12.0,-2.0,-1.0,0.5,False
2335,50458,qzGkS,THHLT,DtMvg,sPNOc,12.0,-3.0,3.0,10.5,False
8155,30071,qzGkS,THHLT,DtMvg,qcizG,3.0,-4.0,,10.5,False
6769,60496,KfoTG,THHLT,DtMvg,DBUky,21.0,-3.0,-5.0,-9.5,False
7532,48244,KfoTG,THHLT,rXCdD,IJnCs,30.0,-3.0,-7.0,-14.5,False
7720,93217,KfoTG,THHLT,DtMvg,esAQH,12.0,-3.0,-5.0,-9.5,False
6196,75092,Lsuai,mDadf,DtMvg,QRKWz,21.0,-3.0,-1.0,0.5,False
3242,56668,qzGkS,hMHca,DtMvg,qXvRS,21.0,-2.0,-5.0,-9.5,False
3011,21846,qzGkS,hMHca,TKfyw,,30.0,-3.0,-1.0,0.5,False
5183,2558,KfoTG,THHLT,DtMvg,lwCkE,21.0,-4.0,-13.0,-29.5,True
7920,50576,Lsuai,THHLT,rXCdD,NdlDR,3.0,-3.0,-1.0,0.5,False
5858,26043,AfgYR,THHLT,DtMvg,VJaVA,21.0,-3.0,-7.0,-14.5,False
7488,69451,Lsuai,mDadf,DtMvg,ARuYG,3.0,-3.0,-1.0,0.5,False
2604,56770,qzGkS,THHLT,DtMvg,IDkCg,21.0,-2.0,-7.0,-14.5,False
4509,16964,KfoTG,mDadf,DtMvg,ZCIYy,3.0,-3.0,1.0,5.5,False
773,95376,Lsuai,hMHca,DtMvg,hmAUm,30.0,-3.0,-1.0,0.5,False
803,71357,,WXYiE,TKfyw,NdlDR,30.0,-3.0,-7.0,-14.5,True
1124,45756,qzGkS,THHLT,DtMvg,sPNOc,21.0,-3.0,,-4.5,False
5626,58124,qzGkS,THHLT,,sPNOc,21.0,-2.0,-7.0,-14.5,False
3264,28677,KfoTG,THHLT,DtMvg,yygvO,30.0,-3.0,-7.0,,False
1245,52579,qzGkS,THHLT,DtMvg,sPNOc,21.0,-3.0,1.0,5.5,False
4369,99394,KfoTG,THHLT,,IJnCs,30.0,-3.0,-7.0,-14.5,False
5237,27639,qzGkS,mDadf,DtMvg,IDkCg,21.0,-3.0,-9.0,-19.5,True
5070,82158,Lsuai,zPfZR,rXCdD,SaVqO,21.0,-4.0,-9.0,-19.5,True
8041,95565,qzGkS,THHLT,zeYAm,IDkCg,30.0,-4.0,-11.0,-24.5,True
904,38186,Lsuai,THHLT,qTmDg,RpXJc,12.0,-3.0,1.0,5.5,False
885,85908,Lsuai,THHLT,TKfyw,RpXJc,3.0,-3.0,3.0,10.5,False
2644,75337,KfoTG,WXYiE,DtMvg,XAmOF,21.0,-2.0,-3.0,-4.5,False
3440,36861,Lsuai,THHLT,zeYAm,hmAUm,12.0,-4.0,3.0,10.5,False
2239,16701,UhSVl,THHLT,DtMvg,yKWYC,30.0,-4.0,-9.0,-19.5,False
2301,46558,ljBjd,THHLT,zeYAm,tXtkv,12.0,-3.0,-11.0,-24.5,True
431,5703,Lsuai,hMHca,rXCdD,QRKWz,30.0,-1.0,-11.0,,False
105,3014,KfoTG,THHLT,DtMvg,shPwO,21.0,-2.0,3.0,10.5,False
1856,66061,ljBjd,THHLT,zeYAm,ZlqSm,12.0,-2.0,-7.0,-14.5,True
7747,44615,qzGkS,THHLT,DtMvg,sPNOc,,-1.0,,,False
3488,20698,KfoTG,WXYiE,DtMvg,,3.0,-4.0,1.0,5.5,False
7785,511,qzGkS,THHLT,DtMvg,XAmOF,21.0,-2.0,,-4.5,False
4659,79834,qzGkS,mDadf,zeYAm,,12.0,-2.0,1.0,5.5,True
2173,13849,Lsuai,THHLT,rXCdD,AjMVN,12.0,-2.0,1.0,5.5,False
638,45921,Lsuai,mDadf,DtMvg,ARuYG,3.0,-4.0,3.0,10.5,True
1761,4440,KfoTG,THHLT,rXCdD,AjMVN,30.0,-4.0,-13.0,-29.5,False
6086,81627,qzGkS,mDadf,qTmDg,sPNOc,21.0,-2.0,-7.0,-14.5,False
4969,67252,qzGkS,THHLT,DtMvg,yKWYC,66.0,-4.0,-3.0,-4.5,False
4735,58023,AfgYR,THHLT,DtMvg,yygvO,57.0,-4.0,-9.0,-19.5,False
7276,67309,ljBjd,WXYiE,qTmDg,XAmOF,21.0,-3.0,-5.0,-9.5,True
6123,4821,KfoTG,THHLT,DtMvg,bUhyU,12.0,-3.0,-7.0,-14.5,True
7001,95388,KfoTG,THHLT,rXCdD,IJnCs,30.0,-4.0,-7.0,-14.5,True
1498,93285,ljBjd,,TKfyw,hmAUm,,-4.0,-1.0,0.5,False
1508,53178,ljBjd,WXYiE,DtMvg,AjMVN,12.0,-3.0,-1.0,0.5,False
814,61138,KfoTG,WXYiE,DtMvg,lwCkE,21.0,-4.0,-9.0,-19.5,True
2668,24664,qzGkS,WXYiE,DtMvg,AjMVN,39.0,,-11.0,-24.5,False
2328,36657,,THHLT,zeYAm,DBUky,12.0,-3.0,1.0,5.5,False
1027,90720,qzGkS,THHLT,TKfyw,mIqzL,21.0,-4.0,-11.0,-24.5,True
8180,39715,Lsuai,,qTmDg,SaVqO,12.0,-2.0,1.0,5.5,False
2501,94623,KfoTG,zPfZR,qTmDg,qcizG,12.0,-4.0,-13.0,-29.5,True
541,41938,qzGkS,mDadf,DtMvg,sPNOc,12.0,-3.0,-7.0,-14.5,True
3979,87269,KfoTG,zPfZR,zeYAm,yKWYC,21.0,-3.0,1.0,5.5,False
2967,78472,qzGkS,THHLT,zeYAm,IDkCg,21.0,-4.0,-9.0,-19.5,True
3526,52337,qzGkS,THHLT,TKfyw,puHHm,30.0,-2.0,-1.0,0.5,False
1408,52379,qzGkS,mDadf,qTmDg,ARuYG,-6.0,-3.0,-3.0,-4.5,False
27,41982,qzGkS,,zeYAm,IDkCg,3.0,-2.0,1.0,5.5,True
4677,67519,qzGkS,THHLT,DtMvg,ARuYG,12.0,-3.0,-5.0,-9.5,False
4864,69601,Lsuai,THHLT,DtMvg,yygvO,39.0,-2.0,-5.0,-9.5,False
39,19897,qzGkS,THHLT,DtMvg,yKWYC,12.0,-3.0,-1.0,0.5,False
7324,65967,KfoTG,zPfZR,rXCdD,qNABl,21.0,-3.0,-7.0,-14.5,False
586,66278,ljBjd,THHLT,DtMvg,ARuYG,12.0,-3.0,-5.0,-9.5,True
7295,25082,qzGkS,mDadf,DtMvg,qNABl,21.0,-4.0,-5.0,-9.5,True
2056,33256,qzGkS,zPfZR,DtMvg,ZCIYy,3.0,-3.0,,-4.5,True
2983,86412,Lsuai,WXYiE,DtMvg,lwCkE,12.0,-2.0,-1.0,0.5,True
4242,38809,KfoTG,THHLT,rXCdD,IJnCs,21.0,-3.0,-1.0,0.5,False
5369,72016,qzGkS,zPfZR,DtMvg,IDkCg,12.0,-3.0,1.0,5.5,False
3738,99303,Lsuai,WXYiE,DtMvg,SaVqO,21.0,-3.0,-1.0,0.5,False
2490,78598,KfoTG,,DtMvg,esAQH,21.0,-3.0,-7.0,-14.5,True
5418,86940,Lsuai,zPfZR,DtMvg,RpXJc,3.0,-4.0,-5.0,-9.5,True
5822,18911,qzGkS,mDadf,rXCdD,qNABl,12.0,-3.0,-5.0,-9.5,False
4711,4092,Lsuai,THHLT,qTmDg,qcizG,12.0,-2.0,-3.0,-4.5,False
4961,72457,KfoTG,THHLT,DtMvg,XHmQd,21.0,-2.0,-7.0,-14.5,True
5176,16758,Lsuai,zPfZR,DtMvg,NdlDR,21.0,,-11.0,-24.5,True
7979,2998,qzGkS,mDadf,rXCdD,vVbnO,12.0,-2.0,-3.0,-4.5,False
1520,8879,Lsuai,mDadf,qTmDg,XHmQd,21.0,-4.0,-9.0,-19.5,True
7197,45848,Lsuai,THHLT,DtMvg,tXtkv,12.0,-3.0,1.0,5.5,False
756,66664,qzGkS,,zeYAm,xzgJe,12.0,-4.0,3.0,10.5,False
1829,60405,KfoTG,,qTmDg,qNABl,21.0,-4.0,-3.0,-4.5,False
1899,94513,qzGkS,THHLT,DtMvg,shPwO,30.0,-3.0,-13.0,-29.5,False
5334,14076,KfoTG,zPfZR,TKfyw,SaVqO,21.0,-4.0,-7.0,-14.5,True
7854,81899,Lsuai,THHLT,zeYAm,ZlqSm,30.0,-3.0,-11.0,-24.5,True
3230,51352,qzGkS,zPfZR,DtMvg,,21.0,-3.0,-3.0,-4.5,True
3732,11831,KfoTG,WXYiE,qTmDg,mIqzL,12.0,-3.0,-5.0,-9.5,True
101,62022,qzGkS,THHLT,TKfyw,puHHm,12.0,-2.0,1.0,5.5,False
463,79459,Lsuai,THHLT,DtMvg,esAQH,3.0,-2.0,-1.0,0.5,False
3235,97145,,zPfZR,DtMvg,hmAUm,21.0,-4.0,-1.0,0.5,True
5289,96780,qzGkS,THHLT,rXCdD,QRKWz,12.0,-4.0,-9.0,-19.5,True
3455,14167,ljBjd,WXYiE,qTmDg,XAmOF,12.0,-2.0,-1.0,0.5,True
6311,25302,Lsuai,WXYiE,rXCdD,QRKWz,21.0,-3.0,-7.0,-14.5,False
3484,66038,Lsuai,THHLT,DtMvg,DBUky,3.0,-3.0,-3.0,-4.5,False
2406,75546,KfoTG,WXYiE,TKfyw,ZlqSm,21.0,-3.0,-9.0,-19.5,True
2758,91047,qzGkS,zPfZR,rXCdD,qNABl,21.0,-4.0,-1.0,0.5,True
7578,96032,Lsuai,mDadf,qTmDg,qcizG,12.0,-3.0,1.0,5.5,False
5577,15923,Lsuai,THHLT,qTmDg,RpXJc,3.0,-3.0,-3.0,-4.5,True
7233,12665,,THHLT,qTmDg,shPwO,39.0,-2.0,-3.0,-4.5,False
672,14402,KfoTG,THHLT,zeYAm,yKWYC,48.0,-3.0,,-34.5,False
2810,63156,KfoTG,THHLT,qTmDg,puHHm,30.0,-2.0,1.0,,False
6767,75850,qzGkS,,DtMvg,sPNOc,21.0,-4.0,-7.0,-14.5,False
432,39573,KfoTG,zPfZR,TKfyw,tXtkv,3.0,-3.0,1.0,5.5,False
7926,82917,qzGkS,THHLT,DtMvg,sPNOc,21.0,-1.0,-13.0,-29.5,False
5843,73905,Lsuai,,DtMvg,esAQH,12.0,-4.0,-3.0,-4.5,True
1857,37503,Lsuai,mDadf,zeYAm,xzgJe,12.0,-2.0,1.0,,False
4666,192,Lsuai,THHLT,rXCdD,vVbnO,12.0,-2.0,-7.0,-14.5,True
4439,76854,,mDadf,DtMvg,XHmQd,21.0,-3.0,-3.0,-4.5,False
954,34596,qzGkS,mDadf,qTmDg,bUhyU,21.0,-3.0,-9.0,-19.5,True
1800,91376,Lsuai,THHLT,DtMvg,AjMVN,12.0,-4.0,-5.0,-9.5,True
6477,97850,Lsuai,THHLT,DtMvg,qXvRS,30.0,-1.0,-11.0,-24.5,False
5830,3546,KfoTG,THHLT,qTmDg,bUhyU,12.0,-4.0,3.0,10.5,False
6252,53081,KfoTG,mDadf,DtMvg,XAmOF,12.0,-4.0,3.0,10.5,False
3535,5765,Lsuai,mDadf,zeYAm,BidgV,21.0,-1.0,-9.0,-19.5,True
6895,20553,qzGkS,THHLT,DtMvg,vVbnO,21.0,-4.0,-7.0,-14.5,True
4175,36129,Lsuai,THHLT,DtMvg,RpXJc,21.0,-2.0,-5.0,-9.5,False
2470,83653,Lsuai,hMHca,DtMvg,RpXJc,21.0,-2.0,-3.0,-4.5,False
2148,71322,GVYCk,mDadf,DtMvg,XAmOF,30.0,-1.0,-5.0,-9.5,False
7384,5725,qzGkS,THHLT,rXCdD,sPNOc,21.0,-1.0,-3.0,-4.5,False
7839,71343,KfoTG,,TKfyw,yygvO,21.0,-3.0,-3.0,-4.5,False
4614,42667,KfoTG,mDadf,DtMvg,yygvO,,-4.0,1.0,5.5,False
1189,81670,KfoTG,THHLT,DtMvg,mIqzL,12.0,,-11.0,-24.5,True
3777,43867,KfoTG,zPfZR,rXCdD,sPNOc,21.0,-3.0,-1.0,0.5,True
7267,99768,Lsuai,,DtMvg,yygvO,21.0,-3.0,-11.0,-24.5,True
7279,46755,Lsuai,mDadf,DtMvg,XAmOF,21.0,-4.0,-5.0,-9.5,True
2300,57032,qzGkS,zPfZR,zeYAm,ZlqSm,12.0,-3.0,-3.0,-4.5,True
1356,24524,UhSVl,THHLT,zeYAm,ZlqSm,12.0,-3.0,-5.0,-9.5,True
5251,32112,KfoTG,THHLT,TKfyw,qNABl,21.0,-4.0,-5.0,-9.5,True
5981,48172,Lsuai,THHLT,DtMvg,qXvRS,21.0,-1.0,-9.0,-19.5,False
5008,70656,tnDpM,THHLT,qTmDg,NdlDR,30.0,-3.0,-5.0,-9.5,True
6046,15030,Lsuai,zPfZR,DtMvg,XAmOF,30.0,-2.0,-5.0,,False
7351,41413,Lsuai,THHLT,rXCdD,IJnCs,21.0,-4.0,-3.0,-4.5,False
3508,97754,Lsuai,,DtMvg,qXvRS,30.0,0.0,-5.0,-9.5,False
371,38132,KfoTG,WXYiE,zeYAm,ZCIYy,3.0,-4.0,-3.0,-4.5,True
2899,1796,,mDadf,DtMvg,ZCIYy,,-2.0,-3.0,-4.5,False
4581,12528,Lsuai,THHLT,zeYAm,xzgJe,21.0,-3.0,-3.0,,False
6912,85318,qzGkS,zPfZR,zeYAm,qNABl,30.0,-4.0,1.0,5.5,False
5044,86318,GVYCk,WXYiE,DtMvg,XAmOF,30.0,-3.0,-3.0,-4.5,False
3869,34904,,zPfZR,rXCdD,,30.0,-2.0,-15.0,-34.5,True
4938,36199,qzGkS,mDadf,zeYAm,BidgV,12.0,-2.0,-1.0,0.5,False
1976,97552,Lsuai,zPfZR,qTmDg,tXtkv,57.0,-4.0,-5.0,-9.5,False
2926,32130,Lsuai,THHLT,qTmDg,qcizG,21.0,-4.0,-3.0,-4.5,True
2319,41379,qzGkS,WXYiE,qTmDg,VJaVA,3.0,-4.0,-5.0,-9.5,True
7133,34574,KfoTG,zPfZR,TKfyw,VJaVA,12.0,-3.0,-9.0,-19.5,True
1672,21424,Lsuai,THHLT,DtMvg,esAQH,3.0,-2.0,-3.0,-4.5,False
6045,1941,Lsuai,mDadf,DtMvg,vVbnO,21.0,,-7.0,-14.5,False
7039,6926,Lsuai,THHLT,,SaVqO,21.0,-4.0,-13.0,-29.5,True
1050,61278,KfoTG,THHLT,zeYAm,xzgJe,12.0,-4.0,3.0,10.5,False
3721,7433,qzGkS,WXYiE,qTmDg,VJaVA,12.0,,-3.0,-4.5,True
165,93244,qzGkS,mDadf,rXCdD,IDkCg,21.0,-2.0,-3.0,-4.5,True
3981,28477,,mDadf,DtMvg,XAmOF,21.0,,1.0,5.5,False
7610,64390,KfoTG,THHLT,rXCdD,XHmQd,21.0,-4.0,-9.0,-19.5,True
7977,91434,KfoTG,mDadf,zeYAm,BidgV,12.0,-2.0,1.0,5.5,False
6227,33155,qzGkS,THHLT,rXCdD,sPNOc,21.0,-3.0,-7.0,-14.5,False
5384,2540,KfoTG,THHLT,,esAQH,,-2.0,-3.0,-4.5,False
1267,74145,KfoTG,THHLT,DtMvg,DBUky,21.0,-3.0,-3.0,-4.5,False
8084,29838,qzGkS,mDadf,zeYAm,yKWYC,12.0,-3.0,-3.0,-4.5,False
1196,99918,KfoTG,THHLT,DtMvg,mIqzL,3.0,-3.0,-1.0,0.5,True
2400,58668,qzGkS,hMHca,qTmDg,VJaVA,12.0,-1.0,-7.0,-14.5,False
3690,46186,qzGkS,mDadf,zeYAm,xzgJe,3.0,-4.0,3.0,10.5,False
7316,22098,KfoTG,THHLT,DtMvg,esAQH,30.0,-2.0,-9.0,-19.5,False
1088,97329,ljBjd,THHLT,qTmDg,XHmQd,21.0,-3.0,,-4.5,False
725,59968,Lsuai,THHLT,zeYAm,vVbnO,12.0,-4.0,1.0,5.5,True
2112,56704,KfoTG,THHLT,qTmDg,shPwO,12.0,-3.0,1.0,5.5,False
